,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,Gain,Loss,bol_middle_band,bol_upper_band,bol_lower_band,rsi,ema10,momemntum,rate of change,ema14
44,44,44,44,44,44,2017-05-19,63.09999847412109,63.29999923706055,62.040000915527344,62.16600036621094,23438000,0,0.0,-0.4459991455078125,0.0,0.4459991455078125,62.75709972381592,65.70583250372472,59.80836694390712,43.577385064934006,62.66873065347865,0.7280006408691406,6116.600036621094,62.66873065347865
45,45,45,45,45,45,2017-05-22,62.560001373291016,62.874000549316406,61.36000061035156,62.06999969482422,21646000,0,0.0,-0.09600067138671875,0.0,0.09600067138671875,62.780299758911134,65.69927144820696,59.86132806961532,45.253442600983945,62.5888998589914,-2.1819992065429688,6106.999969482422,62.5888998589914
46,46,46,46,46,46,2017-05-23,62.09199905395508,62.14599990844727,60.69599914550781,60.77199935913086,21592000,0,0.0,-1.2980003356933594,0.0,1.2980003356933594,62.680999755859375,65.72991862386775,59.632080887851004,45.95845517146339,62.34664645901,-4.271999359130859,5977.199935913086,62.346646459009996
47,47,47,47,47,47,2017-05-24,61.30199813842773,62.20000076293945,61.08000183105469,62.04399871826172,25166500,0,0.0,1.2719993591308594,1.2719993591308594,0.0,62.68149967193604,65.72999267261592,59.633006671256155,59.297058120354315,62.30629342691023,-2.5760040283203125,6104.399871826172,62.30629342691023
48,48,48,48,48,48,2017-05-25,62.20399856567383,63.39400100708008,61.5620002746582,63.36600112915039,25070000,0,0.0,1.3220024108886719,1.3220024108886719,0.0,62.763499641418456,65.79273374718758,59.73426553564932,55.8002871722509,62.44758778720892,-1.5959968566894531,6236.600112915039,62.44758778720892
49,49,49,49,49,49,2017-05-26,63.45600128173828,65.0979995727539,63.262001037597656,65.02799987792969,39011000,0,0.0,1.6619987487792969,1.6619987487792969,0.0,62.87419967651367,66.0621471094027,59.68625224362464,61.18380694627026,62.79164273263836,1.8520011901855469,6402.799987792969,62.79164273263836
50,50,50,50,50,50,2017-05-30,65.19999694824219,67.25599670410156,65.1520004272461,67.0199966430664,38914500,0,0.0,1.9919967651367188,1.9919967651367188,0.0,62.9968994140625,66.6022539585285,59.3915448695965,59.08852017797925,63.35542325402877,3.6179962158203125,6601.999664306641,63.355423254028764
51,51,51,51,51,51,2017-05-31,67.53800201416016,68.5780029296875,67.03199768066406,68.2020034790039,49817000,0,0.0,1.1820068359375,1.1820068359375,0.0,63.21809959411621,67.4790035596793,58.95719562855312,60.11014702879513,64.00163395069212,6.980003356933594,6720.200347900391,64.00163395069212
52,52,52,52,52,52,2017-06-01,68.80000305175781,68.97599792480469,67.45800018310547,68.0739974975586,38040000,0,0.0,-0.1280059814453125,0.0,0.1280059814453125,63.51159954071045,68.24093415464266,58.78226492677824,61.271352785410045,64.54461575694098,5.461997985839844,6707.399749755859,64.54461575694098
53,53,53,53,53,53,2017-06-02,67.9540023803711,68.57599639892578,67.18599700927734,67.97000122070312,27951000,0,0.0,-0.10399627685546875,0.0,0.10399627685546875,63.95549964904785,68.6073205513402,59.303678746755516,59.970835940277915,65.00133381877593,5.8040008544921875,6697.0001220703125,65.00133381877593
54,54,54,54,54,54,2017-06-05,67.69999694824219,69.68800354003906,66.84200286865234,69.46399688720703,33922000,0,0.0,1.4939956665039062,1.4939956665039062,0.0,64.34519958496094,69.45443905943759,59.235960110484285,71.25472098327975,65.59635556123341,7.3939971923828125,6846.399688720703,65.59635556123341
55,55,55,55,55,55,2017-06-06,68.94000244140625,71.89800262451172,67.99400329589844,70.56999969482422,55434000,0,0.0,1.1060028076171875,1.1060028076171875,0.0,64.80179958343506,70.40419750501957,59.199401661850544,72.86880142306275,66.25950811237885,9.79800033569336,6956.999969482422,66.25950811237885
56,56,56,56,56,56,2017-06-07,71.26799774169922,72.0999984741211,71.02799987792969,71.93000030517578,46990000,0,0.0,1.3600006103515625,1.3600006103515625,0.0,65.18569965362549,71.58907944501738,58.78231986223361,86.04900543591609,67.01557373808511,9.886001586914062,7093.000030517578,67.01557373808511
57,57,57,57,57,57,2017-06-08,72.75,74.37999725341797,72.04399871826172,74.0,45307500,0,0.0,2.0699996948242188,2.0699996948242188,0.0,65.6334997177124,73.10991697190985,58.15708246351493,86.65978816304657,67.9468305730071,10.63399887084961,7300.0,67.9468305730071
58,58,58,58,58,58,2017-06-09,74.88400268554688,75.3740005493164,70.95999908447266,71.46399688720703,86307000,0,0.0,-2.5360031127929688,0.0,2.5360031127929688,65.97569942474365,73.85535489767356,58.09604395181375,76.38177172267845,68.41578608156709,6.435997009277344,7046.399688720703,68.41578608156709
59,59,59,59,59,59,2017-06-12,71.5979995727539,72.9000015258789,70.1240005493164,71.802001953125,52588500,0,0.0,0.33800506591796875,0.33800506591796875,0.0,66.31769962310791,74.58036914912219,58.055030097093635,77.2391256440393,68.86728153110815,4.782005310058594,7080.2001953125,68.86728153110815
60,60,60,60,60,60,2017-06-13,73.52400207519531,75.19999694824219,73.3219985961914,75.19000244140625,59039500,0,0.0,3.38800048828125,3.38800048828125,0.0,66.91839981079102,75.9035418822876,57.93325773929443,86.12807731094044,69.71031098581457,6.987998962402344,7419.000244140625,69.71031098581457
61,61,61,61,61,61,2017-06-14,76.21800231933594,76.8499984741211,75.26200103759766,76.13200378417969,64092000,0,0.0,0.9420013427734375,0.9420013427734375,0.0,67.55489997863769,77.23779143170675,57.87200852556863,85.89480665853083,70.56653669226326,8.058006286621094,7513.200378417969,70.56653669226326
62,62,62,62,62,62,2017-06-15,74.5,75.09200286865234,73.2979965209961,75.06800079345703,52132500,0,0.0,-1.0640029907226562,0.0,1.0640029907226562,68.24720001220703,78.0003673508797,58.49403267353436,80.21271755092151,71.16673190575575,7.097999572753906,7406.800079345703,71.16673190575575
63,63,63,63,63,63,2017-06-16,75.59600067138672,75.60199737548828,74.0199966430664,74.27999877929688,33655000,0,0.0,-0.7880020141601562,0.0,0.7880020141601562,68.83059997558594,78.56127002904017,59.0999299221317,75.01619367386395,71.58183415556124,4.816001892089844,7327.9998779296875,71.58183415556124
64,64,64,64,64,64,2017-06-19,75.0,75.33999633789062,73.55999755859375,73.95999908447266,32746500,0,0.0,-0.31999969482421875,0.0,0.31999969482421875,69.42029991149903,78.88702344842764,59.95357637457042,70.63018169909381,71.89892281274943,3.3899993896484375,7295.999908447266,71.89892281274943
65,65,65,65,65,65,2017-06-20,75.33399963378906,75.7760009765625,73.94599914550781,74.447998046875,37193500,0,0.0,0.48799896240234375,0.48799896240234375,0.0,70.03919982910156,79.10877284069676,60.96962681750637,69.366206345459,72.23879951063284,2.5179977416992188,7344.7998046875,72.23879951063284
66,66,66,66,66,66,2017-06-21,74.87000274658203,75.39800262451172,73.60399627685547,75.27999877929688,24616000,0,0.0,0.832000732421875,0.832000732421875,0.0,70.76459980010986,79.03009358692839,62.49910601329134,71.40819141745729,72.64429274645472,1.279998779296875,7427.9998779296875,72.64429274645472
67,67,67,67,67,67,2017-06-22,75.5979995727539,77.0,74.71399688720703,76.52200317382812,37649000,0,0.0,1.24200439453125,1.24200439453125,0.0,71.48850002288819,79.07303332394736,63.903966721829015,73.79784502085683,73.16132080343785,5.058006286621094,7552.2003173828125,73.16132080343785
